Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-12-31 00:00:00+08:00,5.64,5.91,5.64,5.83,143948838,0.0,0.0
2002-01-01 00:00:00+08:00,5.83,5.83,5.83,5.83,0,0.0,0.0
2002-01-02 00:00:00+08:00,5.74,5.93,5.69,5.83,153752547,0.0,0.0
2002-01-04 00:00:00+08:00,5.98,5.98,5.83,5.88,111596395,0.0,0.0
2002-01-07 00:00:00+08:00,5.91,5.96,5.86,5.91,116640846,0.0,0.0
2002-01-08 00:00:00+08:00,5.96,6.03,5.88,5.88,147363925,0.0,0.0
2002-01-09 00:00:00+08:00,5.96,6.06,5.88,5.88,177283176,0.0,0.0
2002-01-10 00:00:00+08:00,5.91,6.01,5.83,5.88,113218445,0.0,0.0
2002-01-11 00:00:00+08:00,5.93,5.98,5.66,5.76,144888012,0.0,0.0
2002-01-14 00:00:00+08:00,5.71,5.81,5.51,5.64,91267146,0.0,0.0
2002-01-15 00:00:00+08:00,5.54,5.64,5.26,5.51,109649811,0.0,0.0
2002-01-16 00:00:00+08:00,5.46,5.56,5.36,5.51,109294232,0.0,0.0
2002-01-17 00:00:00+08:00,5.36,5.51,5.36,5.51,60979239,0.0,0.0
2002-01-18 00:00:00+08:00,5.64,5.69,5.46,5.51,83793606,0.0,0.0
2002-01-21 00:00:00+08:00,5.46,5.66,5.41,5.56,117657446,0.0,0.0
2002-01-22 00:00:00+08:00,5.61,5.64,5.46,5.46,74793379,0.0,0.0
2002-01-23 00:00:00+08:00,5.46,5.61,5.44,5.56,111522709,0.0,0.0
2002-01-24 00:00:00+08:00,5.56,5.64,5.46,5.49,67150684,0.0,0.0
2002-01-25 00:00:00+08:00,5.54,5.69,5.54,5.64,162203818,0.0,0.0
2002-01-28 00:00:00+08:00,5.69,5.71,5.56,5.56,80453022,0.0,0.0
2002-01-29 00:00:00+08:00,5.59,5.61,5.46,5.56,71328665,0.0,0.0
2002-01-30 00:00:00+08:00,5.46,5.54,5.46,5.49,53630957,0.0,0.0
2002-01-31 00:00:00+08:00,5.49,5.49,5.49,5.49,0,0.0,0.0
2002-02-01 00:00:00+08:00,5.59,5.61,5.49,5.49,48395809,0.0,0.0
2002-02-04 00:00:00+08:00,5.51,5.56,5.41,5.44,40904205,0.0,0.0
2002-02-05 00:00:00+08:00,5.39,5.44,5.34,5.34,38265814,0.0,0.0
2002-02-06 00:00:00+08:00,5.36,5.49,5.36,5.39,69647729,0.0,0.0
2002-02-07 00:00:00+08:00,5.39,5.39,5.39,5.39,0,0.0,0.0
2002-02-18 00:00:00+08:00,5.46,5.49,5.34,5.44,56354244,0.0,0.0
2002-02-19 00:00:00+08:00,5.44,5.49,5.34,5.36,55590429,0.0,0.0
2002-02-20 00:00:00+08:00,5.36,5.41,5.19,5.31,81728108,0.0,0.0
2002-02-21 00:00:00+08:00,5.31,5.34,5.16,5.24,54734326,0.0,0.0
2002-02-22 00:00:00+08:00,5.19,5.34,5.19,5.34,68126427,0.0,0.0
2002-02-25 00:00:00+08:00,5.41,5.41,5.19,5.36,55495092,0.0,0.0
2002-02-26 00:00:00+08:00,5.39,5.46,5.26,5.26,74508037,0.0,0.0
2002-02-27 00:00:00+08:00,5.26,5.34,5.24,5.26,58246889,0.0,0.0
2002-02-28 00:00:00+08:00,5.26,5.26,5.26,5.26,0,0.0,0.0
2002-03-01 00:00:00+08:00,5.26,5.26,5.11,5.11,44794079,0.0,0.0
2002-03-04 00:00:00+08:00,5.19,5.39,5.16,5.39,94776707,0.0,0.0
2002-03-05 00:00:00+08:00,5.49,5.51,5.34,5.39,81884888,0.0,0.0
2002-03-06 00:00:00+08:00,5.39,5.51,5.34,5.49,101012928,0.0,0.0
2002-03-07 00:00:00+08:00,5.59,5.76,5.54,5.74,204918086,0.0,0.0
2002-03-08 00:00:00+08:00,5.79,5.83,5.64,5.69,122782273,0.0,0.0
2002-03-11 00:00:00+08:00,5.76,5.91,5.66,5.91,178157077,0.0,0.0
2002-03-12 00:00:00+08:00,5.96,6.06,5.88,6.01,196258930,0.0,0.0
2002-03-13 00:00:00+08:00,6.01,6.03,5.86,5.86,103263182,0.0,0.0
2002-03-14 00:00:00+08:00,5.81,5.93,5.79,5.86,58957151,0.0,0.0
2002-03-15 00:00:00+08:00,5.91,5.93,5.79,5.79,64949808,0.0,0.0
2002-03-18 00:00:00+08:00,5.86,5.86,5.76,5.76,49034707,0.0,0.0
2002-03-19 00:00:00+08:00,5.83,5.86,5.71,5.71,43383661,0.0,0.0
2002-03-20 00:00:00+08:00,5.76,5.86,5.69,5.86,54624797,0.0,0.0
2002-03-21 00:00:00+08:00,5.76,5.86,5.71,5.86,44198077,0.0,0.0
2002-03-22 00:00:00+08:00,5.91,6.06,5.86,6.06,160104030,0.0,0.0
2002-03-25 00:00:00+08:00,6.08,6.21,6.06,6.21,160429702,0.0,0.0
2002-03-26 00:00:00+08:00,6.11,6.16,5.98,5.98,60054473,0.0,0.0
2002-03-27 00:00:00+08:00,6.06,6.21,5.96,6.11,138403994,0.0,0.0
2002-03-28 00:00:00+08:00,6.11,6.13,5.91,5.98,63437610,0.0,0.0
2002-03-29 00:00:00+08:00,6.08,6.08,5.91,5.93,46654079,0.0,0.0
2002-04-01 00:00:00+08:00,5.71,5.93,5.71,5.93,46107800,0.0,0.0
2002-04-02 00:00:00+08:00,5.91,6.01,5.86,5.86,51062000,0.0,0.0
2002-04-03 00:00:00+08:00,5.76,5.98,5.76,5.98,61608051,0.0,0.0
2002-04-04 00:00:00+08:00,6.03,6.13,5.91,5.91,88535735,0.0,0.0
2002-04-05 00:00:00+08:00,5.91,5.91,5.91,5.91,0,0.0,0.0
2002-04-08 00:00:00+08:00,5.96,6.13,5.96,6.01,83347379,0.0,0.0
2002-04-09 00:00:00+08:00,6.03,6.03,5.74,5.76,60239000,0.0,0.0
2002-04-10 00:00:00+08:00,5.76,5.91,5.71,5.91,45168894,0.0,0.0
2002-04-11 00:00:00+08:00,5.86,5.91,5.79,5.91,40499268,0.0,0.0
2002-04-12 00:00:00+08:00,5.79,5.91,5.79,5.91,27569459,0.0,0.0
2002-04-15 00:00:00+08:00,5.93,6.01,5.83,5.91,42911712,0.0,0.0
2002-04-16 00:00:00+08:00,5.91,6.01,5.91,5.91,63795968,0.0,0.0
2002-04-17 00:00:00+08:00,5.98,6.11,5.96,6.06,163940730,0.0,0.0
2002-04-18 00:00:00+08:00,6.08,6.31,6.08,6.21,202428837,0.0,0.0
2002-04-19 00:00:00+08:00,6.26,6.63,6.26,6.63,377823592,0.0,0.0
2002-04-22 00:00:00+08:00,6.41,6.46,6.26,6.46,158243732,0.0,0.0
2002-04-23 00:00:00+08:00,6.41,6.46,6.21,6.26,96793911,0.0,0.0
2002-04-24 00:00:00+08:00,6.26,6.26,6.13,6.23,92771025,0.0,0.0
2002-04-25 00:00:00+08:00,6.26,6.41,6.08,6.21,176974769,0.0,0.0
2002-04-26 00:00:00+08:00,6.21,6.23,6.08,6.18,62027232,0.0,0.0
2002-04-29 00:00:00+08:00,6.13,6.18,6.08,6.13,58232713,0.0,0.0
2002-04-30 00:00:00+08:00,6.13,6.18,5.96,6.01,72430597,0.0,0.0
2002-05-01 00:00:00+08:00,6.01,6.01,6.01,6.01,0,0.0,0.0
2002-05-02 00:00:00+08:00,6.08,6.08,5.86,5.93,67810652,0.0,0.0
2002-05-03 00:00:00+08:00,5.88,5.98,5.79,5.93,42734493,0.0,0.0
2002-05-06 00:00:00+08:00,5.88,5.91,5.64,5.71,65216839,0.0,0.0
2002-05-07 00:00:00+08:00,5.61,5.71,5.59,5.59,41071769,0.0,0.0
2002-05-08 00:00:00+08:00,5.66,5.74,5.61,5.64,40702204,0.0,0.0
2002-05-09 00:00:00+08:00,5.79,5.79,5.64,5.66,36580925,0.0,0.0
2002-05-10 00:00:00+08:00,5.66,5.76,5.61,5.74,34950994,0.0,0.0
2002-05-13 00:00:00+08:00,5.71,5.71,5.64,5.66,17227797,0.0,0.0
2002-05-14 00:00:00+08:00,5.69,5.76,5.59,5.74,42553289,0.0,0.0
2002-05-15 00:00:00+08:00,5.71,5.81,5.69,5.74,37327387,0.0,0.0
2002-05-16 00:00:00+08:00,5.76,5.79,5.61,5.61,41867742,0.0,0.0
2002-05-17 00:00:00+08:00,5.66,5.71,5.59,5.71,37286200,0.0,0.0
2002-05-20 00:00:00+08:00,5.66,5.66,5.41,5.41,39860814,0.0,0.0
2002-05-21 00:00:00+08:00,5.41,5.46,5.26,5.26,37591157,0.0,0.0
2002-05-22 00:00:00+08:00,5.26,5.39,5.26,5.31,36934502,0.0,0.0
2002-05-23 00:00:00+08:00,5.36,5.36,5.29,5.29,29191408,0.0,0.0
2002-05-24 00:00:00+08:00,5.34,5.51,5.31,5.44,67441469,0.0,0.0
2002-05-27 00:00:00+08:00,5.36,5.66,5.36,5.61,61160255,0.0,0.0
2002-05-28 00:00:00+08:00,5.64,5.64,5.46,5.46,40836515,0.0,0.0
2002-05-29 00:00:00+08:00,5.41,5.46,5.36,5.39,26221041,0.0,0.0
2002-05-30 00:00:00+08:00,5.41,5.61,5.41,5.59,72319404,0.0,0.0
2002-05-31 00:00:00+08:00,5.71,5.71,5.54,5.69,67626250,0.0,0.0
2002-06-03 00:00:00+08:00,5.64,5.64,5.46,5.49,42728123,0.0,0.0
2002-06-04 00:00:00+08:00,5.36,5.56,5.36,5.51,25149024,0.0,0.0
2002-06-05 00:00:00+08:00,5.56,5.66,5.56,5.56,32989753,0.0,0.0
2002-06-06 00:00:00+08:00,5.64,5.66,5.59,5.61,28280529,0.0,0.0
2002-06-07 00:00:00+08:00,5.56,5.69,5.51,5.51,40840601,0.0,0.0
2002-06-10 00:00:00+08:00,5.59,5.61,5.54,5.56,18053403,0.0,0.0
2002-06-11 00:00:00+08:00,5.61,5.69,5.51,5.51,31252996,0.0,0.0
2002-06-12 00:00:00+08:00,5.54,5.59,5.51,5.54,16113988,0.0,0.0
2002-06-13 00:00:00+08:00,5.59,5.76,5.56,5.71,81344595,0.0,0.0
2002-06-14 00:00:00+08:00,5.74,5.91,5.74,5.76,101476038,0.0,0.0
2002-06-17 00:00:00+08:00,5.76,5.93,5.71,5.93,73970308,0.0,0.0
2002-06-18 00:00:00+08:00,6.03,6.06,5.79,5.79,74311224,0.0,0.0
2002-06-19 00:00:00+08:00,5.86,5.86,5.66,5.81,74384168,0.0,0.0
2002-06-20 00:00:00+08:00,5.76,6.01,5.69,6.01,69724035,0.0,0.0
2002-06-21 00:00:00+08:00,5.96,6.01,5.86,5.98,80622646,0.0,0.0
2002-06-24 00:00:00+08:00,5.98,6.08,5.86,6.08,61147204,0.0,0.0
2002-06-25 00:00:00+08:00,6.06,6.08,5.76,5.96,91152059,0.0,0.0
2002-06-26 00:00:00+08:00,5.81,5.86,5.66,5.69,73436752,0.0,0.0
2002-06-27 00:00:00+08:00,5.74,5.76,5.59,5.59,49053218,0.0,0.0
2002-06-28 00:00:00+08:00,5.66,5.74,5.64,5.66,31050301,0.0,0.0
2002-07-01 00:00:00+08:00,5.66,5.66,5.41,5.44,30179868,0.0,0.0
2002-07-02 00:00:00+08:00,5.44,5.56,5.44,5.54,22003580,0.0,0.0
2002-07-03 00:00:00+08:00,5.46,5.64,5.41,5.56,32026076,0.0,0.0
2002-07-04 00:00:00+08:00,5.59,5.64,5.51,5.59,21972947,0.0,0.0
2002-07-05 00:00:00+08:00,5.59,5.64,5.46,5.54,38418914,0.0,0.0
2002-07-08 00:00:00+08:00,5.59,5.66,5.54,5.59,51744287,0.0,0.0
2002-07-09 00:00:00+08:00,5.59,5.64,5.54,5.54,21285582,0.0,0.0
